SpeciesID,all.biomass,OrganismType,NodeColor,NodeShape,NodeName,TrophicLevel,Description,ImageFile,Caption,ImageSource,ImageLiscence
148,0.0036769,Bird,Maroon-11,Circle,Belted Kingfisher,6.080508812,"Belted Kingfishers are common, migrating birds that occur across North America. Recent surveys indicate a decline in population, as these birds tend to be vulnerable to habitat loss and climate change.",kingfisher.jpg,Belted Kingfisher sitting on tree branch above water. ,JudaM at pixabay,Free for commercial use
151,0.0007309,Bird,Maroon-11,Circle,Bonaparte's Gull,5.550742098,"The Bonaparte's Gull is the smallest gull to occur in North America and migrates from Canada to coastal United States in the winter. While it is vulnerable to climate change and increased temperatures, it is less vulnerable to other human-related disturbances.",bonaparte.jpg,Bonaparte's Gull standing on branch.,tdfugere at Pixabay,Free for commercial use
154,0.0915692,Bird,Maroon-11,Circle,Bufflehead,5.44794664,"The Bufflehead is a smaller duck species that occurs in North America. It is generally considered to have a stable population, but is vulnerable to habitat loss and highly vulnerable to climate change.",bufflehead.jpg,Two Buffleheads sitting in water.,bryanhanson1956 at Pixabay,Free for commercial use
155,0.0516353,Bird,Maroon-11,Circle,Blue-winged Teal,4.858231854,"The Blue-winged Teal is a small species of duck that spends its summers in Canada and the United States, migrating south towards South America in the winter. It is considered to have a low vulnerability status. ",bw-teal.jpg,Blue-winged Teal sitting near water.,HarmonyonPlanetEarth,Free to copy and adapt with credit
157,0.249866575,Bird,Maroon-11,Circle,California Gull,5.718092508,The California Gull is a gull species that occurs mainly on the Pacific coast of North America. It is moderately vulnerable to climate change.,ca-gull.jpg,California Gull standing on a rock near water.,raggio5,Free for commercial use
158,0.0036287,Bird,Maroon-11,Circle,Caspian Tern,6.080508812,The Caspian Tern is the largest of all tern species. These birds have a low vulnerability to climate change.,c-tern.jpg,Two Caspian Terns standing in sand.,Francesco Veronesi,Free to copy and adapt with credit
159,0.0149052,Bird,Maroon-11,Circle,Cinnamon Teal,4.858231854,"The Cinnamon Teal is a common species of duck that can be found only in the Western half of the United States, in addition to their range in Mexico. It is moderately vulnerable to climate change. ",cinn-teal.jpg,Cinnamon Teal swimming in water.,jimsimmons at Pixabay,Free for commercial use
161,0.002242,Bird,Maroon-11,Circle,Cooper's Hawk,6.75988327,The Cooper's Hawk is a widespread species that is not considered to be vulnerable to climate change.,c-hawk.jpg,Cooper's Hawk sitting on a tree branch.,wileydoc at Pixabay,Free for commercial use
163,0.0124805,Bird,Maroon-11,Circle,Double-crested Cormorant,6.416819526,"The Double-crested Cormorant is a species of diving birds that is not considered to be vulnerable to climate change. However, it may be impacted by pollution.",cormorant.jpg,Double-crested Cormorant sitting in water.,Alan Vernon,Free to copy and adapt with credit
164,0.0090074,Bird,Maroon-11,Circle,Dunlin,5.70972031,The Dunlin is a migrating species that spends its winters on the Pacific coast of the United States. This species has seen considerable declines in their wintering seasons and is highly vulnerable to climate change.,dunlin.jpg,Dunlin standing in water.,Georg-Wietschorke at Pixabay,Free for commercial use
168,0.2673797,Bird,Maroon-11,Circle,Great Blue Heron,6.416819526,"Great Blue Herons are large, common water birds and are considered to be highly adaptable. They will likely not be negatively affected by climate change.",heron.jpg,Great Blue Heron flying over water.,PublicDomainImages at pixabay,Free for commercial use
169,0.0701152,Bird,Maroon-11,Circle,Great Egret,6.416819526,"Great Egrets are a tall, water bird that is generally not vulnerable to climate change. This bird has a wide range that spans the Southern pacific and Southern Atlantic coasts of the United States.",egret.jpg,Great Egret flying.,sschema at pixabay,Free for commercial use
170,0.0075045,Bird,Maroon-11,Circle,Green Heron,6.080508812,The Green Heron is smaller than the Great Blue Heron but will also likely not be impacted negatively by climate change.,green-heron.jpg,Green Heron standing on rock.,zoosnow at pixabay,Free for commercial use
172,0.0396191,Bird,Maroon-11,Circle,Greater Yellowlegs,6.152020747,"Greater Yellowlegs are a migrating, wading bird species. It is highly vulnerable to climate change, and there is not consensus on the stability of its population.",g-yellow.jpg,Greater Yellowlegs standing in shallow water.,ftmartens at Pixabay,Free for commercial use
173,0.1386956,Bird,Maroon-11,Circle,Green-winged Teal,4.858231854,This small duck species is common and widespread. The Green-winged Teal is considered to have low vulnerability to climate change.,gw-teal.jpg,Green-winged Teal swimming in water.,Gennaro-Leonardi at Pixabay,Free for commercial use
174,0.0062451,Bird,Maroon-11,Circle,Killdeer,6.263420883,"The Killdeer is a common species of bird, and is not considered to be vulnerable to climate change. ",killdeer.jpg,Killdeer sitting in gravel.,Kenroy at Pixabay,Free for commercial use
175,0.0835354,Bird,Maroon-11,Circle,Long-billed Curlew,5.635856141,"The Long-billed Curlew is one of the largest shorebirds, migrating across the Western United States and Mexico. It is vulnerable to habitat loss, as much of their breeding habitat has been converted to agriculture. They are also highly vulnerable to climate change.",lb-curlew.jpg,Long-billed Curlew taking flight from water.,Hasheem5 at Pixabay,Free for commercial use
176,0.0553906,Bird,Maroon-11,Circle,Long-billed Dowitcher,5.946935434,"The Long-billed Dowitcher is a similar species to the Long-billed Curlew. While they overlap in range, the Long-billed Dowitcher prefers fresh water to salt water. This species is highly vulnerable to climate change.",lb-dowitcher.jpg,Long-billed Dowitcher standing in shallow water.,Francesco Veronesi,Free to copy and adapt with credit
177,0.0035291,Bird,Maroon-11,Circle,Little Blue Heron,6.43095257,The Little Blue Heron is a migrating bird that is not considered to be vulnerable to climate change.,lb-heron.jpg,Little Blue Heron standing in marsh water.,NextRoy at Pixabay,Free for commercial use
178,0.0356641,Bird,Maroon-11,Circle,Least Sandpiper,6.008488907,"The Least Sandpiper is a migrating species. This species relies less on ""stopover"" sites than other migrating birds, and is considered to be moderately vulnerable to climate change.",least-sand.jpg,Least Sandpiper standing at water's edge.,Alan Vernon,Free to copy and adapt with credit
181,0.1057894,Bird,Maroon-11,Circle,Marbled Godwit,5.635856141,The Marbled Godwit is a migrating bird that is declining due to habitat loss in their summer habitat. They are moderately vulnerable to climate change.,m-godwit.jpg,Marbled Godwit standing in waves.,moonietunes at Pixabay,Free for commercial use
182,0.4704502,Bird,Maroon-11,Circle,Mallard,4.858231854,Mallards are one of the most abundant ducks in the world. They migrate across North America and are considered to have a low vulnerability to climate change.,mallard.jpg,Three female and two male Mallards standing in shallow water.,Pixabay,Free for commercial use
183,0.273488671,Bird,Maroon-11,Circle,Mew Gull,5.550742098,"The Mew Gull, also known as the Common Gull, is a medium-sized, migrating water bird that is common along the Pacific Coast and in Alaska and Northern Canada. Like many other birds, the Mew Gull is vulnerable to pollution.",gull.jpg,Mew Gull standing near water.,PublicDomainPictures at pixabay,Free for commercial use
187,0.0198625,Bird,Maroon-11,Circle,Pied-billed Grebe,6.121224817,"The Pied-billed Grebe is a common and widespread bird. While there have been declines in this species in the last few decades, it is generally not vulnerable to disturbances.",pied-grebe.jpg,Pied-billed Grebe swimming in water.,Alan Vernon,Free to copy and adapt with credit
189,0.0064582,Bird,Maroon-11,Circle,Ring-billed Gull,5.550742098,"The Ring-billed Gull is one of the most common gulls in North America, and has benefited greatly from the aavailability of food provided by humans. It is considered to have a low vulnerability status to climate change. ",rb-gull.jpg,Ring-billed Gull standing in shallow water.,jodylehigh at Pixabay,Free for commercial use
190,0.0518401,Bird,Maroon-11,Circle,Red-breasted Merganser,6.416819526,The Red-breasted Merganser is a species of duck found in coastal United States and the Great Lakes Region. This species may lose about 30% of its range due to climate change.,merganser.jpg,Red-breasted Merganser swimming in water.,Pixabay,Free for commercial use
194,0.0019375,Bird,Maroon-11,Circle,Ruddy Duck,5.049019742,"Ruddy Ducks are a species of stiff-tailed ducks in North America. It is vulnerable to habitat loss, and mildly vulnerable to climate change.",ruddy.jpg,Ruddy Dyck taking flight from water. ,Lancier at Pixabay,Free for commercial use
197,0.0070175,Bird,Maroon-11,Circle,Semipalmated Plover,6.073529614,"While the Semipalmated is widespread and common in coastal ecosystems across the United States, this species is considered to be highly vulnerable to climate change.",semi-plover.kpg,Juvenile Semipalmated Plover walking in sand. ,Alan Vernon,Free to copy and adapt with credit
198,0.0758358,Bird,Maroon-11,Circle,Snowy Egret,6.43095257,The Snowy Egret is a small species of egret that is found mostly in the Southern United States and Mexico. It is continuously recovering from historic population decreases and is not considered to be vulnerable to climate change.,snow-egret.jpg,Snowy Egret standing on rocks near rushing water.,cegoh at Pixabay,Free for commercial use
201,0.0003662,Bird,Maroon-11,Circle,Spotted Sandpiper,6.067402146,"The Spotted Sandpiper is a comon and widespread bird. It is generally not threatened, however it is vulnerable to habitat loss.",spot-sandpiper.jpeg,Two Spotted Sandpipers standing in water.,sarangib at pixabay,Free for commercial use
202,0.0026295,Bird,Maroon-11,Circle,Surf Scoter,5.44794664,"The Surf Scoter is a species of duck that migrates to the Pacific coast of the United States, where it is vulnerable to oil spills and other pollution.",surf-scoter,Two Surf Scoters swimming in water.,Omar Runolfsson,Free to copy and adapt with credit
204,0.0470025,Bird,Maroon-11,Circle,Turkey Vulture,1,Turkey Vultures are widespread across North America and are not considered to be vulnerable to climate change.,t-vulture.jpg,Turkey Vulture flying.,Lostangelino at Pixabay,Free for commercial use
205,0.0218222,Bird,Maroon-11,Circle,Western Grebe,6.416819526,"The Western Grebe is a species of aquatic birds that migrates between fresh water lakes and brackish coastal waters in North America. While this species used to be targeted for its feathers, it is currently only vulnerable to climate change.",w-grebe.png,Two Western Grebes swimming.,Krazytea,Free to copy and adapt with credit
207,0.0001507,Bird,Maroon-11,Circle,Western Sandpiper,5.253921717,The Western Sandpiper is the smallest species of sandpipers and is unlikely to be significantly impacted by climate change.,west-sandpiper.jpg,Western Sandpiper standing on branches above water.,Ron Knight,Free to copy and adapt with credit
208,0.0192895,Bird,Maroon-11,Circle,Whimbrel,5.589092229,"Whimbrels are a shorebird that occurs in North America. They are highly vulnerable to climate change, and are still recovering from historically depleted populations.",whimbrel.jpg,Whimbrel standing in shallow water.,Ron Knight,Free to copy and adapt with credit
209,0.7094073,Bird,Maroon-11,Circle,Willet,5.946935434,Willets are large shorebirds that occur in prairie and salt marshes in North America. They are vulnerable to habitat disturbance and loss.,willet.jpg,Willet flying over water.,Magnus Manske,Free to copy and adapt with credit
210,0.9857072,Mammal,Orange/brown-13,Circle,Raccoon,5.899233442,"Racoons are medium-sized, nocturnal mammal. Nocturnal animals are chategorized by sleeping during the day and being active at night. Raccoons are considered to be very resilient animals.",raccoon.jpg,Raccoon sitting in tree.,Alexas_Fotos at pixabay,Free for commercial use
300,47981.15827,Plant,Bright Green-14,Circle,Plants,1,Plants are non-animal organisms that use photosynthesis to make their own food. They produce a large amount of the world's oxygen during photosynthesis. Plants play a large role in supporting food chains.,grasses.jpg,Grasses.,Nennieinszweidrei at pixabay,Free for commercial use
350,45684.9337,Ecosystem Service,Dark Pink-4,Square,Wave Attenuation,2,"Wave attenuation is the decrease in wave intensity. Plants and other aquatic structures (e.g., coral reefs) play a large role in taming waves and violent storms that could damage shorelines.",wave.jpg,Ocean waves.,Pexels at pixabay,Free for commercial use
400,NA,Microscopic Organism,Black-1,Circle,Microscopic Organism,4.812171297,"Microscopic organisms, or microbes, are tiny, single-celled organisms that cannot be seen with the naked eye. Microbes play an important role in nutrient cycling and there are more than 1 trillion different species, many of which have not yet been discovered. ",copepod.jpg,Copepod.,Jacabo Werther,Free to copy and adapt with credit
450,47509.3846,Ecosystem Service,Dark Pink-4,Square,Shoreline Protection,2,"Shoreline protection is the strengthening and stabilizing of coastal areas. Naturally, plants with deep roots can prevent erosion, enhancing shoreline protection.",saltmarsh.jpg,Saltmarsh.,Emphyrio at pixabay,Free for commercial use
500,1788.910924,Molluscs,Dark Teal-2,Circle,Molluscs,3.906085648,"Molluscs are invertebrate animals, meaning they do not have backbones. There are more than 85,000 species of molluscs today. Mollsucs are shell-forming animals and are vulnerable to ocean acidifcation and pollution.",mussels.jpg,Many mussels underwater.,donieve at pixabay,Free for commercial use
550,49779.82555,Ecosystem Service,Dark Pink-4,Square,Carbon Storage,5.992822501,"Carbon storage (also known as carbon sequestration) is the process of capturing and storing carbon. Carbon can be stored in plants, soils and other organic materials.",carbon.jpg,Salt marsh with vehicle in the background.,jeanlouisservais at pixabay,Free for commercial use
600,18.03491695,Insect,Dark Purple-6,Circle,Insects,6.502331896,"Insects are invertebrate animals, meaning they do not have backbones. Insects are a class of arthropods with a hard external skeleton (known as the exoskeleton), a segmented body, and at least 3 pairs of legs. Some insects include ants, butterflies, mosquitoes and flies.",insect.jpg,Dragonfly on branch.,liggraphy at pixabay,Free for commercial use
650,47789.69028,Ecosystem Service,Dark Pink-4,Square,Water Filtration,3.453042824,Water filtration is the process of removing and reducing the number of particles suspended in water. This helps improve water clarity by reducing sediment loads.,filtration.jpg,Mussels filtering water.,zoosnow at pixabay,Free for commercial use
700,11.78583508,Plankton,Light Yellow-15,Circle,Plankton,4.024509871,Plankton are a diverse colletion of microscopic plants and animals that drift around in aquatic ecosystems. Phytoplankton is are tiny plants and Zooplankton are tiny animals that eat phytoplankton. Plankton form the base of aquatic food webs.,plankton.jpg,Microscopic image of plankton.,Fabianduran at pixabay,Free for commercial use
750,0.9714345,Ecosystem Service,Dark Pink-4,Square,Commercial Fishery,6.62737857,"Commercial fisheries are large-scale harvesting operations that target fish and other seafood for commercial profit. These fisheries do not occur in salt marshes. However, salt marshes and other coastal ecosystems like mangroves provide importance habitat and breeding grounds for many commercially important species.",comm-fish.jpg,Commercial fishing boat in a harbor.,PublicDomainPictures at pixabay,Free for commercial use
800,191.3924808,Crustacean,Teal-3,Circle,Crustaceans,5.049019742,"Crustaceans are invertebrate animals, meaning they do not have backbones. There are many different types of crustaceans, but they are generally categorixed by a hard exoskeleton, a segmented body and at least 4 pairs of jointed appendages (""legs"" and ""claws""). Crustaceans are vulnerable to over fishing, plastic pollution, habitat loss and ocean acidification. Ocean acidification occurs when there are changes in the chemical make up (specifically decreases in the pH due to increased carbon dioxide) of oceans, which can make it difficult for shell-builiding organisms to build their shells.",crab.jpg,Crab standing in sand.,pixabay,Free for commercial use
850,0.369631471,Ecosystem Service,Dark Pink-4,Square,Birdwatching,7.009986001,"Birdwatching, or birding, is a type of wildlife viewing, where people track, look and listen for birds. This can be done for recreation and/or citizen science.",birdwatch.jpg,Binoculars on bird guide.,stevepb at pixabay,Free for commercial use
900,13.9641979,Fish,Blue-7,Circle,Other fish,5.387494148,"Fish are gill-bearing organisms that live in aquatic ecosystems. There are more than 28,000 species, some of which are of critical importance to fisheries and wildlife viewing. They vary in their vulnerability to disturbances, but can be impacted greatly by overfishing and warming waters.",surfperch.jpg,"Shiner Surfperch, one species of fish.",David Stang,Free to copy and adapt with credit
950,0.8204547,Ecosystem Service,Dark Pink-4,Square,Waterfowl Hunting,5.681958518,"Waterfowl hunting is the activity of hunting ducks, geese or other water birds for fun and/or food.",wfowl-hunt.jpg,Dog carrying waterfowl in grass.,karisjo at pixabay,Free for commercial use
1050,584.6903931,Ecosystem Service,Dark Pink-4,Square,Recreational Fishery,6.282341804,"Recreational fishing involves fishing for fun. This type of fishing can take place on small boats, on the shoreline, or on piers in salt marshes.",rec-fish.jpg,Fishing rod on pier over water.,aranha at pixabay,Free for commercial use
